Subject	Department
Complaint about overtime pay discrepancy   HR
Request for product trial demonstration   Sales
Question about promotion eligibility criteria HR
Inquiry about employee training and development opportunities programs HR
Report of security breach attempt incident   Security
Request for	Marketing materials printing production assistance  	Marketing
Complaint about CustomerService response time and resolution   CustomerService
Query about product availability status update check confirmation   Sales
Feedback on product functionality and usability 	QualityAssurance
Technical issue with server performance optimization   IT
Proposal for product	Marketing partnership collaboration strategy  	Marketing
Complaint about workplace discrimination complaint process resolution   HR
Request for sales support and assistance   Sales
Question about retirement benefits eligibility criteria HR
Inquiry about employee satisfaction survey feedback HR
Report of data breach attempt incident investigation   Security
Request for social media	Marketing campaign planning assistance and strategy  	Marketing
Complaint about product availability delay and backorder   Sales
Query about delivery tracking status update check confirmation and confirmation   Sales
Feedback on shipping speed and accuracy improvement   CustomerService
